Ensembl Gene ID,Ensembl Transcript ID,Associated Gene Name
ENSG00000198888,ENST00000361390,MT-ND1
ENSG00000198763,ENST00000361453,MT-ND2
ENSG00000198804,ENST00000361624,MT-CO1
ENSG00000198712,ENST00000361739,MT-CO2
ENSG00000228253,ENST00000361851,MT-ATP8
ENSG00000198899,ENST00000361899,MT-ATP6
ENSG00000198938,ENST00000362079,MT-CO3
ENSG00000198840,ENST00000361227,MT-ND3
ENSG00000212907,ENST00000361335,MT-ND4L
ENSG00000198886,ENST00000361381,MT-ND4
ENSG00000198786,ENST00000361567,MT-ND5
ENSG00000198695,ENST00000361681,MT-ND6
ENSG00000198727,ENST00000361789,MT-CYB
ENSG00000186132,ENST00000409466,C2orf76
ENSG00000186132,ENST00000334816,C2orf76
ENSG00000186132,ENST00000409877,C2orf76
ENSG00000186132,ENST00000409523,C2orf76
ENSG00000186132,ENST00000414534,C2orf76
ENSG00000182584,ENST00000330271,ACTL10
ENSG00000174799,ENST00000422247,CEP135
ENSG00000174799,ENST00000257287,CEP135
ENSG00000116691,ENST00000235332,MIIP
ENSG00000149609,ENST00000375222,C20orf144
ENSG00000110104,ENST00000227520,CCDC86
ENSG00000110104,ENST00000545580,CCDC86
ENSG00000268163,ENST00000596831,AC004076.9
ENSG00000121236,ENST00000278302,TRIM6
ENSG00000121236,ENST00000424369,TRIM6
ENSG00000121236,ENST00000507320,TRIM6
ENSG00000121236,ENST00000380107,TRIM6
ENSG00000121236,ENST00000380097,TRIM6
ENSG00000121236,ENST00000445329,TRIM6
ENSG00000121236,ENST00000515022,TRIM6
ENSG00000121236,ENST00000506134,TRIM6
ENSG00000121236,ENST00000621176,TRIM6
ENSG00000121236,ENST00000618326,TRIM6
ENSG00000140807,ENST00000268459,NKD1
ENSG00000163938,ENST00000479230,GNL3
ENSG00000163938,ENST00000418458,GNL3
ENSG00000163938,ENST00000394799,GNL3
ENSG00000163938,ENST00000474423,GNL3
ENSG00000163645,ENST00000295910,ERICH6
ENSG00000163645,ENST00000491361,ERICH6
ENSG00000163645,ENST00000474463,ERICH6
ENSG00000163645,ENST00000498386,ERICH6
ENSG00000100926,ENST00000261789,TM9SF1
ENSG00000100926,ENST00000528669,TM9SF1
ENSG00000100926,ENST00000524835,TM9SF1
ENSG00000100926,ENST00000532632,TM9SF1
ENSG00000100926,ENST00000396854,TM9SF1
ENSG00000100926,ENST00000528895,TM9SF1
ENSG00000100926,ENST00000530563,TM9SF1
ENSG00000100926,ENST00000530468,TM9SF1
ENSG00000100926,ENST00000525592,TM9SF1
ENSG00000100926,ENST00000528010,TM9SF1
ENSG00000114107,ENST00000264982,CEP70
ENSG00000114107,ENST00000489254,CEP70
ENSG00000114107,ENST00000484888,CEP70
ENSG00000114107,ENST00000474781,CEP70
ENSG00000114107,ENST00000459695,CEP70
ENSG00000114107,ENST00000481834,CEP70
ENSG00000114107,ENST00000468900,CEP70
ENSG00000114107,ENST00000462419,CEP70
ENSG00000114107,ENST00000464035,CEP70
ENSG00000114107,ENST00000470159,CEP70
ENSG00000114107,ENST00000485115,CEP70
ENSG00000256294,ENST00000589155,ZNF225
ENSG00000256294,ENST00000262894,ZNF225
