"","ensembl_gene_id","ensembl_transcript_id","hgnc_symbol"
"1","ENSG00000116786","ENST00000375799","PLEKHM2"
"2","ENSG00000214114","ENST00000397572","MYCBP"
"3","ENSG00000158246","ENST00000289166","TENT5B"
"4","ENSG00000142583","ENST00000377424","SLC2A5"
"5","ENSG00000204084","ENST00000373027","INPP5B"
"6","ENSG00000142751","ENST00000374135","GPN2"
"7","ENSG00000158828","ENST00000321556","PINK1"
"8","ENSG00000130695","ENST00000451429","CEP85"
"9","ENSG00000130695","ENST00000252992","CEP85"
"10","ENSG00000116237","ENST00000343813","ICMT"
"11","ENSG00000134686","ENST00000373418","PHC2"
"12","ENSG00000134686","ENST00000257118","PHC2"
"13","ENSG00000182749","ENST00000374296","PAQR7"
"14","ENSG00000130939","ENST00000253251","UBE4B"
"15","ENSG00000130939","ENST00000343090","UBE4B"
"16","ENSG00000162444","ENST00000294435","RBP7"
"17","ENSG00000173614","ENST00000403197","NMNAT1"
"18","ENSG00000173614","ENST00000377205","NMNAT1"
"19","ENSG00000162458","ENST00000375766","FBLIM1"
"20","ENSG00000162458","ENST00000441801","FBLIM1"
"21","ENSG00000171603","ENST00000377298","CLSTN1"
"22","ENSG00000171603","ENST00000361311","CLSTN1"
"23","ENSG00000097021","ENST00000361521","ACOT7"
"24","ENSG00000176261","ENST00000468695","ZBTB8OS"
"25","ENSG00000176261","ENST00000373501","ZBTB8OS"
"26","ENSG00000176261","ENST00000465588","ZBTB8OS"
"27","ENSG00000254553","ENST00000480336",""
"28","ENSG00000162511","ENST00000294507","LAPTM5"
"29","ENSG00000196449","ENST00000373044","YRDC"
"30","ENSG00000157873","ENST00000355716","TNFRSF14"
"31","ENSG00000157911","ENST00000288774","PEX10"
"32","ENSG00000157911","ENST00000447513","PEX10"
"33","ENSG00000162585","ENST00000400918","FAAP20"
"34","ENSG00000162585","ENST00000378546","FAAP20"
"35","ENSG00000197312","ENST00000480945","DDI2"
"36","ENSG00000127054","ENST00000435064","INTS11"
"37","ENSG00000127054","ENST00000419704","INTS11"
"38","ENSG00000127054","ENST00000540437","INTS11"
"39","ENSG00000127054","ENST00000545578","INTS11"
"40","ENSG00000127054","ENST00000620829","INTS11"
"41","ENSG00000090273","ENST00000321265","NUDC"
"42","ENSG00000142784","ENST00000361771","WDTC1"
"43","ENSG00000142784","ENST00000319394","WDTC1"
"44","ENSG00000121903","ENST00000361328","ZSCAN20"
"45","ENSG00000158006","ENST00000374282","PAFAH2"
"46","ENSG00000243749","ENST00000373337","TMEM35B"
"47","ENSG00000117118","ENST00000375499","SDHB"
"48","ENSG00000126709","ENST00000361157","IFI6"
"49","ENSG00000126709","ENST00000339145","IFI6"
"50","ENSG00000126709","ENST00000362020","IFI6"
"51","ENSG00000116288","ENST00000493678","PARK7"
"52","ENSG00000131584","ENST00000354700","ACAP3"
"53","ENSG00000065526","ENST00000375759","SPEN"
"54","ENSG00000188807","ENST00000340305","TMEM201"
"55","ENSG00000188807","ENST00000340381","TMEM201"
"56","ENSG00000078369","ENST00000378609","GNB1"
"57","ENSG00000078369","ENST00000610897","GNB1"
"58","ENSG00000078369","ENST00000615252","GNB1"
"59","ENSG00000134644","ENST00000257075","PUM1"
"60","ENSG00000134644","ENST00000426105","PUM1"
"61","ENSG00000133226","ENST00000323848","SRRM1"
"62","ENSG00000132906","ENST00000333868","CASP9"
"63","ENSG00000132906","ENST00000348549","CASP9"
"64","ENSG00000132906","ENST00000375890","CASP9"
"65","ENSG00000163875","ENST00000373075","MEAF6"
"66","ENSG00000163875","ENST00000296214","MEAF6"
"67","ENSG00000163875","ENST00000373073","MEAF6"
"68","ENSG00000187608","ENST00000379389","ISG15"
"69","ENSG00000188786","ENST00000373036","MTF1"
"70","ENSG00000142669","ENST00000270792","SH3BGRL3"
"71","ENSG00000157978","ENST00000374338","LDLRAP1"
"72","ENSG00000116138","ENST00000375847","DNAJC16"
"73","ENSG00000116138","ENST00000616884","DNAJC16"
"74","ENSG00000117713","ENST00000324856","ARID1A"
"75","ENSG00000117713","ENST00000457599","ARID1A"
"76","ENSG00000162542","ENST00000294543","TMCO4"
"77","ENSG00000196182","ENST00000373129","STK40"
"78","ENSG00000196182","ENST00000373130","STK40"
"79","ENSG00000162520","ENST00000409190","SYNC"
"80","ENSG00000162520","ENST00000373484","SYNC"
"81","ENSG00000134698","ENST00000373210","AGO4"
"82","ENSG00000092847","ENST00000373206","AGO1"
"83","ENSG00000092847","ENST00000373204","AGO1"
"84","ENSG00000188976","ENST00000327044","NOC2L"
"85","ENSG00000131591","ENST00000379339","C1orf159"
"86","ENSG00000077549","ENST00000264203","CAPZB"
"87","ENSG00000077549","ENST00000375142","CAPZB"
"88","ENSG00000077549","ENST00000433834","CAPZB"
"89","ENSG00000077549","ENST00000264202","CAPZB"
"90","ENSG00000126705","ENST00000374011","AHDC1"
"91","ENSG00000181773","ENST00000374024","GPR3"
"92","ENSG00000142733","ENST00000374040","MAP3K6"
"93","ENSG00000142733","ENST00000493901","MAP3K6"
"94","ENSG00000158062","ENST00000314675","UBXN11"
"95","ENSG00000134690","ENST00000373055","CDCA8"
"96","ENSG00000160087","ENST00000349431","UBE2J2"
"97","ENSG00000160087","ENST00000400930","UBE2J2"
"98","ENSG00000160087","ENST00000347370","UBE2J2"
"99","ENSG00000183386","ENST00000373016","FHL3"
"100","ENSG00000090432","ENST00000264198","MUL1"
"101","ENSG00000177000","ENST00000376592","MTHFR"
"102","ENSG00000177000","ENST00000376590","MTHFR"
"103","ENSG00000177000","ENST00000376583","MTHFR"
"104","ENSG00000183726","ENST00000374358","TMEM50A"
"105","ENSG00000198912","ENST00000361605","C1orf174"
"106","ENSG00000142684","ENST00000374266","ZNF593"
"107","ENSG00000157916","ENST00000605895","RER1"
"108","ENSG00000116353","ENST00000373791","MECR"
"109","ENSG00000116353","ENST00000263702","MECR"
"110","ENSG00000092853","ENST00000251195","CLSPN"
"111","ENSG00000092853","ENST00000318121","CLSPN"
"112","ENSG00000092853","ENST00000373220","CLSPN"
"113","ENSG00000198746","ENST00000361720","GPATCH3"
"114","ENSG00000171621","ENST00000328089","SPSB1"
"115","ENSG00000169972","ENST00000379031","PUSL1"
"116","ENSG00000171608","ENST00000377346","PIK3CD"
"117","ENSG00000163877","ENST00000296215","SNIP1"
"118","ENSG00000163874","ENST00000373087","ZC3H12A"
"119","ENSG00000178585","ENST00000377263","CTNNBIP1"
"120","ENSG00000204160","ENST00000374142","ZDHHC18"
"121","ENSG00000188529","ENST00000344989","SRSF10"
"122","ENSG00000188529","ENST00000453840","SRSF10"
"123","ENSG00000188529","ENST00000484146","SRSF10"
"124","ENSG00000188529","ENST00000374452","SRSF10"
"125","ENSG00000188529","ENST00000374453","SRSF10"
"126","ENSG00000188529","ENST00000343255","SRSF10"
"127","ENSG00000188529","ENST00000492112","SRSF10"
"128","ENSG00000184677","ENST00000404138","ZBTB40"
"129","ENSG00000184677","ENST00000374651","ZBTB40"
"130","ENSG00000116285","ENST00000377482","ERRFI1"
"131","ENSG00000197982","ENST00000373042","C1orf122"
"132","ENSG00000011021","ENST00000346436","CLCN6"
"133","ENSG00000011021","ENST00000312413","CLCN6"
"134","ENSG00000040487","ENST00000375153","PQLC2"
"135","ENSG00000142634","ENST00000375980","EFHD2"
"136","ENSG00000117640","ENST00000374301","MTFR1L"
"137","ENSG00000117640","ENST00000466284","MTFR1L"
"138","ENSG00000054118","ENST00000354618","THRAP3"
"139","ENSG00000126070","ENST00000373191","AGO3"
"140","ENSG00000126070","ENST00000246314","AGO3"
"141","ENSG00000127483","ENST00000312239","HP1BP3"
"142","ENSG00000142920","ENST00000294517","AZIN2"
"143","ENSG00000142920","ENST00000373441","AZIN2"
"144","ENSG00000181817","ENST00000315732","LSM10"
"145","ENSG00000162441","ENST00000377223","LZIC"
"146","ENSG00000157881","ENST00000378466","PANK4"
"147","ENSG00000117682","ENST00000525682","DHDDS"
"148","ENSG00000117682","ENST00000236342","DHDDS"
"149","ENSG00000117682","ENST00000526219","DHDDS"
"150","ENSG00000117682","ENST00000360009","DHDDS"
"151","ENSG00000116151","ENST00000378531","MORN1"
"152","ENSG00000116151","ENST00000378529","MORN1"
"153","ENSG00000116663","ENST00000376753","FBXO6"
"154","ENSG00000171729","ENST00000428417","TMEM51"
"155","ENSG00000053372","ENST00000330263","MRTO4"
"156","ENSG00000074800","ENST00000234590","ENO1"
"157","ENSG00000176022","ENST00000379198","B3GALT6"
"158","ENSG00000116809","ENST00000375743","ZBTB17"
"159","ENSG00000116809","ENST00000375733","ZBTB17"
"160","ENSG00000116954","ENST00000373001","RRAGC"
"161","ENSG00000090020","ENST00000263980","SLC9A1"
"162","ENSG00000060642","ENST00000374145","PIGV"
"163","ENSG00000162545","ENST00000375078","CAMK2N1"
"164","ENSG00000158747","ENST00000602662","NBL1"
"165","ENSG00000158747","ENST00000375136","NBL1"
"166","ENSG00000204178","ENST00000374343","MACO1"
"167","ENSG00000204178","ENST00000399766","MACO1"
"168","ENSG00000198492","ENST00000373812","YTHDF2"
"169","ENSG00000198492","ENST00000541996","YTHDF2"
"170","ENSG00000186501","ENST00000611517","TMEM222"
"171","ENSG00000173436","ENST00000322753","MINOS1"
"172","ENSG00000173436","ENST00000617872","MINOS1"
"173","ENSG00000188157","ENST00000379370","AGRN"
"174","ENSG00000078808","ENST00000360001","SDF4"
"175","ENSG00000078808","ENST00000263741","SDF4"
