"","id","hgnc_symbol"
"1","ENSG00000116786","PLEKHM2"
"2","ENSG00000214114","MYCBP"
"3","ENSG00000158246","TENT5B"
"4","ENSG00000142583","SLC2A5"
"5","ENSG00000204084","INPP5B"
"6","ENSG00000142751","GPN2"
"7","ENSG00000158828","PINK1"
"8","ENSG00000130695","CEP85"
"9","ENSG00000130695","CEP85"
"10","ENSG00000116237","ICMT"
"11","ENSG00000134686","PHC2"
"12","ENSG00000134686","PHC2"
"13","ENSG00000182749","PAQR7"
"14","ENSG00000130939","UBE4B"
"15","ENSG00000130939","UBE4B"
"16","ENSG00000162444","RBP7"
"17","ENSG00000173614","NMNAT1"
"18","ENSG00000173614","NMNAT1"
"19","ENSG00000162458","FBLIM1"
"20","ENSG00000162458","FBLIM1"
"21","ENSG00000171603","CLSTN1"
"22","ENSG00000171603","CLSTN1"
"23","ENSG00000097021","ACOT7"
"24","ENSG00000176261","ZBTB8OS"
"25","ENSG00000176261","ZBTB8OS"
"26","ENSG00000176261","ZBTB8OS"
"27","ENSG00000254553",NA
"28","ENSG00000162511","LAPTM5"
"29","ENSG00000196449","YRDC"
"30","ENSG00000157873","TNFRSF14"
"31","ENSG00000157911","PEX10"
"32","ENSG00000157911","PEX10"
"33","ENSG00000162585","FAAP20"
"34","ENSG00000162585","FAAP20"
"35","ENSG00000197312","DDI2"
"36","ENSG00000127054","INTS11"
"37","ENSG00000127054","INTS11"
"38","ENSG00000127054","INTS11"
"39","ENSG00000127054","INTS11"
"40","ENSG00000127054","INTS11"
"41","ENSG00000090273","NUDC"
"42","ENSG00000142784","WDTC1"
"43","ENSG00000142784","WDTC1"
"44","ENSG00000121903","ZSCAN20"
"45","ENSG00000158006","PAFAH2"
"46","ENSG00000243749","TMEM35B"
"47","ENSG00000117118","SDHB"
"48","ENSG00000126709","IFI6"
"49","ENSG00000126709","IFI6"
"50","ENSG00000126709","IFI6"
"51","ENSG00000116288","PARK7"
"52","ENSG00000131584","ACAP3"
"53","ENSG00000065526","SPEN"
"54","ENSG00000188807","TMEM201"
"55","ENSG00000188807","TMEM201"
"56","ENSG00000078369","GNB1"
"57","ENSG00000078369","GNB1"
"58","ENSG00000078369","GNB1"
"59","ENSG00000134644","PUM1"
"60","ENSG00000134644","PUM1"
"61","ENSG00000133226","SRRM1"
"62","ENSG00000132906","CASP9"
"63","ENSG00000132906","CASP9"
"64","ENSG00000132906","CASP9"
"65","ENSG00000163875","MEAF6"
"66","ENSG00000163875","MEAF6"
"67","ENSG00000163875","MEAF6"
"68","ENSG00000187608","ISG15"
"69","ENSG00000188786","MTF1"
"70","ENSG00000142669","SH3BGRL3"
"71","ENSG00000157978","LDLRAP1"
"72","ENSG00000116138","DNAJC16"
"73","ENSG00000116138","DNAJC16"
"74","ENSG00000117713","ARID1A"
"75","ENSG00000117713","ARID1A"
"76","ENSG00000162542","TMCO4"
"77","ENSG00000196182","STK40"
"78","ENSG00000196182","STK40"
"79","ENSG00000162520","SYNC"
"80","ENSG00000162520","SYNC"
"81","ENSG00000134698","AGO4"
"82","ENSG00000092847","AGO1"
"83","ENSG00000092847","AGO1"
"84","ENSG00000188976","NOC2L"
"85","ENSG00000131591","C1orf159"
"86","ENSG00000077549","CAPZB"
"87","ENSG00000077549","CAPZB"
"88","ENSG00000077549","CAPZB"
"89","ENSG00000077549","CAPZB"
"90","ENSG00000126705","AHDC1"
"91","ENSG00000181773","GPR3"
"92","ENSG00000142733","MAP3K6"
"93","ENSG00000142733","MAP3K6"
"94","ENSG00000158062","UBXN11"
"95","ENSG00000134690","CDCA8"
"96","ENSG00000160087","UBE2J2"
"97","ENSG00000160087","UBE2J2"
"98","ENSG00000160087","UBE2J2"
"99","ENSG00000183386","FHL3"
"100","ENSG00000090432","MUL1"
"101","ENSG00000177000","MTHFR"
"102","ENSG00000177000","MTHFR"
"103","ENSG00000177000","MTHFR"
"104","ENSG00000183726","TMEM50A"
"105","ENSG00000198912","C1orf174"
"106","ENSG00000142684","ZNF593"
"107","ENSG00000157916","RER1"
"108","ENSG00000116353","MECR"
"109","ENSG00000116353","MECR"
"110","ENSG00000092853","CLSPN"
"111","ENSG00000092853","CLSPN"
"112","ENSG00000092853","CLSPN"
"113","ENSG00000198746","GPATCH3"
"114","ENSG00000171621","SPSB1"
"115","ENSG00000169972","PUSL1"
"116","ENSG00000171608","PIK3CD"
"117","ENSG00000163877","SNIP1"
"118","ENSG00000163874","ZC3H12A"
"119","ENSG00000178585","CTNNBIP1"
"120","ENSG00000204160","ZDHHC18"
"121","ENSG00000188529","SRSF10"
"122","ENSG00000188529","SRSF10"
"123","ENSG00000188529","SRSF10"
"124","ENSG00000188529","SRSF10"
"125","ENSG00000188529","SRSF10"
"126","ENSG00000188529","SRSF10"
"127","ENSG00000188529","SRSF10"
"128","ENSG00000184677","ZBTB40"
"129","ENSG00000184677","ZBTB40"
"130","ENSG00000116285","ERRFI1"
"131","ENSG00000197982","C1orf122"
"132","ENSG00000011021","CLCN6"
"133","ENSG00000011021","CLCN6"
"134","ENSG00000040487","PQLC2"
"135","ENSG00000142634","EFHD2"
"136","ENSG00000117640","MTFR1L"
"137","ENSG00000117640","MTFR1L"
"138","ENSG00000054118","THRAP3"
"139","ENSG00000126070","AGO3"
"140","ENSG00000126070","AGO3"
"141","ENSG00000127483","HP1BP3"
"142","ENSG00000142920","AZIN2"
"143","ENSG00000142920","AZIN2"
"144","ENSG00000181817","LSM10"
"145","ENSG00000162441","LZIC"
"146","ENSG00000157881","PANK4"
"147","ENSG00000117682","DHDDS"
"148","ENSG00000117682","DHDDS"
"149","ENSG00000117682","DHDDS"
"150","ENSG00000117682","DHDDS"
"151","ENSG00000116151","MORN1"
"152","ENSG00000116151","MORN1"
"153","ENSG00000116663","FBXO6"
"154","ENSG00000171729","TMEM51"
"155","ENSG00000053372","MRTO4"
"156","ENSG00000074800","ENO1"
"157","ENSG00000176022","B3GALT6"
"158","ENSG00000116809","ZBTB17"
"159","ENSG00000116809","ZBTB17"
"160","ENSG00000116954","RRAGC"
"161","ENSG00000090020","SLC9A1"
"162","ENSG00000060642","PIGV"
"163","ENSG00000162545","CAMK2N1"
"164","ENSG00000158747","NBL1"
"165","ENSG00000158747","NBL1"
"166","ENSG00000204178","MACO1"
"167","ENSG00000204178","MACO1"
"168","ENSG00000198492","YTHDF2"
"169","ENSG00000198492","YTHDF2"
"170","ENSG00000186501","TMEM222"
"171","ENSG00000173436","MINOS1"
"172","ENSG00000173436","MINOS1"
"173","ENSG00000188157","AGRN"
"174","ENSG00000078808","SDF4"
"175","ENSG00000078808","SDF4"
"176","ENSG00000244038","DDOST"
"177","ENSG00000244038","DDOST"
"178","ENSG00000049239","H6PD"
"179","ENSG00000162490","DRAXIN"
"180","ENSG00000116922","C1orf109"
"181","ENSG00000116898","MRPS15"
"182","ENSG00000116514","RNF19B"
"183","ENSG00000116514","RNF19B"
"184","ENSG00000116514","RNF19B"
"185","ENSG00000004455","AK2"
"186","ENSG00000004455","AK2"
"187","ENSG00000116885","OSCP1"
"188","ENSG00000116885","OSCP1"
"189","ENSG00000116863","ADPRHL2"
"190","ENSG00000127423","AUNIP"
"191","ENSG00000127423","AUNIP"
"192","ENSG00000162430","SELENON"
"193","ENSG00000162430","SELENON"
"194","ENSG00000132879","FBXO44"
"195","ENSG00000132879","FBXO44"
"196","ENSG00000132879","FBXO44"
"197","ENSG00000116670","MAD2L2"
"198","ENSG00000175087","PDIK1L"
"199","ENSG00000116497","S100PBP"
"200","ENSG00000120656","TAF12"
"201","ENSG00000054116","TRAPPC3"
"202","ENSG00000054116","TRAPPC3"
"203","ENSG00000054116","TRAPPC3"
"204","ENSG00000054116","TRAPPC3"
"205","ENSG00000116871","MAP7D1"
"206","ENSG00000116871","MAP7D1"
"207","ENSG00000116871","MAP7D1"
"208","ENSG00000134668","SPOCD1"
"209","ENSG00000134668","SPOCD1"
"210","ENSG00000116731","PRDM2"
"211","ENSG00000116731","PRDM2"
"212","ENSG00000183520","UTP11"
"213","ENSG00000183431","SF3A3"
"214","ENSG00000169914","OTUD3"
"215","ENSG00000177674","AGTRAP"
"216","ENSG00000177674","AGTRAP"
"217","ENSG00000177674","AGTRAP"
"218","ENSG00000177674","AGTRAP"
"219","ENSG00000160094","ZNF362"
"220","ENSG00000163879","DNALI1"
"221","ENSG00000134697","GNL2"
"222","ENSG00000142686","C1orf216"
"223","ENSG00000126067","PSMB2"
"224","ENSG00000126067","PSMB2"
"225","ENSG00000117602","RCAN3"
"226","ENSG00000117602","RCAN3"
"227","ENSG00000117602","RCAN3"
"228","ENSG00000117602","RCAN3"
"229","ENSG00000116525","TRIM62"
"230","ENSG00000116525","TRIM62"
"231","ENSG00000121766","ZCCHC17"
"232","ENSG00000121766","ZCCHC17"
"233","ENSG00000121766","ZCCHC17"
"234","ENSG00000121766","ZCCHC17"
"235","ENSG00000160058","BSDC1"
"236","ENSG00000160058","BSDC1"
"237","ENSG00000160058","BSDC1"
"238","ENSG00000160058","BSDC1"
"239","ENSG00000160058","BSDC1"
"240","ENSG00000049247","UTS2"
"241","ENSG00000049247","UTS2"
"242","ENSG00000221978","CCNL2"
"243","ENSG00000221978","CCNL2"
"244","ENSG00000175756","AURKAIP1"
"245","ENSG00000171735","CAMTA1"
"246","ENSG00000171735","CAMTA1"
"247","ENSG00000048707","VPS13D"
"248","ENSG00000048707","VPS13D"
"249","ENSG00000159363","ATP13A2"
