"","geneid","hl.ratio","pval"
"1","RFPL1","4.4152763830736799","1.8567678450098E-151"
"2","DUXA","8.91953641549898","0"
"3","RFPL2","3.03225829969199","1.08320882312039E-25"
"4","LEUTX","7.1516288813928997","1.03279064942685E-78"
"5","RFPL3S","NA","NA"
"6","ZSCAN5C","3.9100933769734998","6.0755795498023901E-2"
"7","USP29","NA","NA"
"8","FAM189A2","NA","NA"
"9","CCNA1","5.1078668601800201","8.7040945660551197E-171"
"10","ZNF280A","NA","NA"
"11","PRAMEF1","4.8165735509164804","1.8546732464913699E-76"
"12","NT5C1B-RDH14","NA","NA"
"13","TPRX1","7.34571358370978","5.2816036318944202E-4"
"14","PRAMEF12","7.5495217669639203","0"
"15","KLF17","NA","NA"
"16","RFPL4B","7.4559724014137601","0"
"17","PRAMEF2","6.6017364398292804","0"
"18","FAM46C","NA","NA"
"19","KDM4E","7.3444584462678799","0"
"20","CXCR4","NA","NA"
"21","WI2-2994D6.2","NA","NA"
"22","TRIM43","8.6052392238407798","0"
"23","KHDC1L","6.9728782032076504","0"
"24","KHDC1L","6.9728782032076504","0"
"25","DUXB","NA","NA"
"26","PRAMEF13","NA","NA"
"27","PRAMEF6","5.3988297373190504","4.6423321054402904E-41"
"28","WI2-3308P17.2","NA","NA"
"29","ZSCAN4","8.3140882991260199","0"
"30","DPPA3","NA","NA"
"31","HNRNPCL1","7.8743548515762898","7.7826274805105399E-156"
"32","NEUROG2","NA","NA"
"33","PRAMEF9","NA","NA"
"34","EOMES","NA","NA"
"35","ZNF705G","4.4534061745126499","2.3018641201716702E-3"
"36","PRAMEF7","NA","NA"
"37","PRAMEF14","4.4245775332592201","4.9198827295928597E-24"
"38","NLRP4","NA","NA"
"39","ZIM3","NA","NA"
"40","PRAMEF15","NA","NA"
"41","PRAMEF5","NA","NA"
"42","PRAMEF10","NA","NA"
"43","SLC34A2","8.1690471898359398","0"
"44","PRAMEF20","4.2976470004287703","3.5280381035069697E-2"
"45","PRAMEF11","-7.6675212984754699","8.6098535956099706E-5"
"46","ZSCAN5D","6.6263821729837904","0"
"47","ART3","NA","NA"
"48","KBTBD8","NA","NA"
"49","PRAMEF4","NA","NA"
"50","CRHBP","NA","NA"
"51","TRIM36","NA","NA"
"52","ZNF679","NA","NA"
"53","RP11-24B21.1","NA","NA"
"54","ZSCAN5B","NA","NA"
"55","FRG2","1.6071962508134801","0.26589937272875902"
"56","PTGER3","NA","NA"
"57","MBD3L5","NA","NA"
"58","HSPA6","NA","NA"
"59","MRAP2","NA","NA"
"60","PANX2","NA","NA"
"61","CA2","NA","NA"
"62","PKIB","NA","NA"
"63","RFPL4A","NA","NA"
"64","MBD3L3","6.7302785950827397","0"
"65","ITGA8","NA","NA"
"66","RP11-1118M6.1","NA","NA"
"67","SIAH1","5.77011278018505","1.6017011896811899E-15"
"68","TAF4B","NA","NA"
"69","MBD3L2","NA","NA"
"70","AC084121.16","NA","NA"
"71","ENAM","5.4226643417399298","8.37146312708076E-3"
"72","SGCG","NA","NA"
"73","SNAI1","4.7976777807476898","1.63735862095283E-3"
"74","ZNF296","2.2934669332791899","0.28661026860493799"
"75","TRIM51BP","NA","NA"
"76","CLEC17A","NA","NA"
"77","FRG2B","NA","NA"
"78","NT5C1B","NA","NA"
"79","CDS1","NA","NA"
"80","TC2N","NA","NA"
"81","PRAMEF21","NA","NA"
"82","HBA1","NA","NA"
"83","DEFB103A","3.9143189472043498","4.1911148895330599E-8"
"84","PSPN","NA","NA"
"85","PRR4","NA","NA"
"86","ARC","NA","NA"
"87","PRRG4","NA","NA"
"88","CXADR","NA","NA"
"89","GPBAR1","NA","NA"
"90","SLC10A4","NA","NA"
"91","RRAD","6.2927068735512997","1.97835782847998E-100"
"92","CTD-2611O12.2","NA","NA"
"93","TSPAN13","NA","NA"
"94","F2RL1","NA","NA"
"95","ODC1","NA","NA"
"96","MYCT1","NA","NA"
"97","ATP8A1","NA","NA"
"98","HBEGF","NA","NA"
"99","FOSB","NA","NA"
"100","OSR2","NA","NA"
"101","VMO1","NA","NA"
"102","ZNF214","NA","NA"
"103","ELOVL7","NA","NA"
"104","NEFH","NA","NA"
"105","TPBG","NA","NA"
"106","SCN3B","NA","NA"
"107","TRIM64C","NA","NA"
"108","KIAA0040","NA","NA"
"109","KIAA0040","NA","NA"
"110","CLDN1","NA","NA"
"111","PDGFRA","NA","NA"
"112","INSM1","NA","NA"
"113","TRIM53AP","NA","NA"
"114","VAV3","NA","NA"
"115","BAMBI","NA","NA"
"116","RND1","NA","NA"
"117","RTN4R","NA","NA"
"118","ZNF705A","NA","NA"
"119","TRIM51","NA","NA"
"120","PARD6B","NA","NA"
"121","SH3GL2","NA","NA"
"122","RNASE10","NA","NA"
"123","PRAMEF3","NA","NA"
"124","ATF3","NA","NA"
"125","ZNF217","6.3458641900463002","0"
"126","DEFB103B","NA","NA"
"127","OVOL1","NA","NA"
"128","NXF1","3.1680381087284899","9.3747492113126505E-270"
"129","TBX4","NA","NA"
"130","RNF152","NA","NA"
"131","ESRP1","NA","NA"
"132","STK33","NA","NA"
"133","ALYREF","1.6143077723216099","6.8207640074202593E-27"
"134","BCAS1","NA","NA"
"135","PRAMEF18","NA","NA"
"136","CCK","NA","NA"
"137","SIPA1L2","NA","NA"
"138","HSPB3","NA","NA"
"139","CCDC148","NA","NA"
"140","CDKN1C","NA","NA"
"141","AKR1D1","NA","NA"
"142","FOS","NA","NA"
"143","PDZD2","4.6703297026233299","2.5721666523969001E-2"
"144","PTP4A1","7.3595565699265402","0"
"145","FGFR3","NA","NA"
"146","RIPK4","NA","NA"
"147","USP17L2","NA","NA"
"148","PNP","2.8730904918591098","0"
"149","ALPPL2","NA","NA"
"150","TPPP","NA","NA"
"151","ARID3B","NA","NA"
"152","TRIM49","6.03900648670027","9.7676772006103197E-222"
"153","NRARP","NA","NA"
"154","TPD52","NA","NA"
"155","TRIM48","6.3785280405043698","5.6605897823099904E-6"
"156","TRIM53BP","NA","NA"
"157","HSPA1B","NA","NA"
"158","FRG2C","NA","NA"
"159","KIF5C","NA","NA"
"160","RASD1","NA","NA"
"161","ZNF705C","NA","NA"
"162","HSPA1A","1.2857969981475099","1.15812928015438E-145"
"163","HEY2","NA","NA"
"164","KLHL15","NA","NA"
"165","KITLG","NA","NA"
"166","CTD-2215E18.1","NA","NA"
"167","TRIM60","NA","NA"
"168","LRRC8B","NA","NA"
"169","PKP2","NA","NA"
"170","LEKR1","NA","NA"
"171","LEKR1","NA","NA"
"172","BHLHE22","NA","NA"
"173","IFRD1","3.9375921966172398","4.3240809098031901E-22"
"174","PRKAR2B","NA","NA"
"175","NEFM","NA","NA"
"176","GAPT","NA","NA"
"177","PELI1","NA","NA"
"178","TRIM49C","NA","NA"
"179","CD24P4","NA","NA"
"180","HFE2","NA","NA"
"181","PELI2","NA","NA"
"182","PIM1","NA","NA"
"183","TRIM49B","NA","NA"
"184","LIPF","NA","NA"
"185","PPP1R14C","NA","NA"
"186","ZNF551","NA","NA"
"187","PDZK1","NA","NA"
"188","TFCP2L1","NA","NA"
"189","CTAGE8","NA","NA"
"190","TRPC5OS","NA","NA"
"191","SOX4","NA","NA"
"192","UTS2D","NA","NA"
"193","DBR1","1.80189638620685","6.6066671388996E-9"
"194","KRT6A","-6.2460781985849803","2.6759997026251698E-53"
"195","TFIP11","3.30304825764133","5.24642394856901E-61"
"196","CDH6","NA","NA"
"197","EGR3","NA","NA"
"198","CGN","NA","NA"
"199","HBA2","NA","NA"
"200","IMPG2","NA","NA"
"201","FAM81B","NA","NA"
"202","UGT2B11","NA","NA"
"203","DNTT","NA","NA"
"204","ZNHIT6","5.4773200170690099","1.09347267446153E-16"
"205","THSD7A","4.45265303889318","4.7351424244983703E-2"
"206","MAS1","NA","NA"
"207","MLK4","NA","NA"
"208","FOXD3","NA","NA"
"209","CD96","NA","NA"
"210","RAI2","NA","NA"
"211","LPPR5","NA","NA"
