"","ensembl_transcript","extra","Length","hour00_rep1","hour00_rep2","hour00_rep3","hour04_rep1","hour04_rep2","hour04_rep3","hour08_rep1","hour08_rep2","hour08_rep3","hour14_rep1","hour14_rep2","hour14_rep3","gene_symbol"
"1","ENST00000550420","2_116_632",520,58.5,82,68.5,607.5,571.5,591,13547,16269.5,16066.5,26483.5,23692.5,24847.5,NA
"2","ENST00000544301","6_414_1812",1408,24374,29852,27929,28571,27655,25130,27141,27735,24991,17629,14589,16867,"VIM"
"3","ENST00000550420","2_722_1007",287,27,28.5,23.5,371,345,325.5,7128.5,8659,8129.5,15110.5,12467.5,13562,NA
"4","ENST00000370651","5_1154_1673",525,206,234,198,441,431,387,3544,4056,4063,13513,9606,11136,"PTP4A1"
"5","ENST00000357726","4_28_1477",1453,26,41,30,251,288,246,4746,5181,4872,11377,11924,13027,"PRAMEF12"
"6","ENST00000318203","9_698_1997",1303,121,159,132,6178,5986,5679,12749,13581,13151,11168,8771,9215,"ZSCAN4"
"7","ENST00000225964","9_120_4512",4442,11271,12049,11673,12739,11942,10758,13095,10119,12687,10857,11405,14847,"COL1A1"
"8","ENST00000534624","5_278_2216",1945,3935.5,4099.5,3938,3069.5,2754.5,2841,5859,6160.5,6222,9576,7966.5,8167,"HSPA8"
"9","ENST00000441065","2_313_1102",791,77,94,75,1484,1516,1391,7374,8594,7955,9076,8354,8786,"RFPL4B"
"10","ENST00000396033","6_137_2531",2408,6493,6750,6155,6549,5983,5557,7357,7806,7323,8841,6208,7165,"ITGB1"
"11","ENST00000554048","2_1_613",617,12,11,9,242,227,226,5499,6037,5672,8279,5993,7145,"DUXA"
"12","ENST00000304636","7_171_4569",4450,5831,6097,5792,6659,6135,5390,9242,9259.5,9443,7955,8062,9214.5,"COL3A1"
"13","ENST00000442011","6_162_2211",2067,7851,8855,8191,8639,9269,8129,9417,9070,8798,7891,7559,8544,"TGFBI"
"14","ENST00000297268","10_472_4570",4151,9483,10179,9834,10131,9105,8526,9997,8887,9356,7582,7508,9364,"COL1A2"
"15","ENST00000638280","1_39_633",598,7,9,7.5,120,101,114,3262,3842.5,3618,7400,6069,6844,NA
"16","ENST00000316084","9_106_895",795,5303,5991,5431,5675,5715,5620,6642,7785,6809,7212,5662,6458,"RPS4X"
"17","ENST00000354785","8_371_7802",7476,7473.92,7241.57,6649.04,6279.97,5794.81,5033.5,7786.52,7149.58,7420.04,7196.83,6865.06,7263.75,"FN1"
"18","ENST00000323926","10_267_7605",7384,7437.92,7201.07,6617.54,6243.47,5763.81,5006,7741.02,7100.08,7378.54,7161.83,6831.56,7226.75,"FN1"
"19","ENST00000396841","4_165_669",507,7,9,7.5,116,97,110,3207,3738.5,3430,7145,5916,6452,"LEUTX"
"20","ENST00000336916","8_267_7332",7110,7324.25,7087.4,6513.87,6152.8,5669.48,4930.67,7624.69,7006.75,7268.21,7053.17,6728.89,7122.75,"FN1"
"21","ENST00000446046","5_267_7257",7035,7314.25,7076.4,6501.87,6144.4,5659.68,4923.27,7614.89,6995.15,7258.61,7043.77,6716.69,7109.95,"FN1"
"22","ENST00000356005","8_267_7155",6931,7152.25,6940.9,6392.37,6016.55,5534.48,4820.67,7448.69,6873.5,7101.96,6866.17,6582.64,6945.25,"FN1"
"23","ENST00000443816","5_272_7067",6839,7116.25,6900.4,6360.87,5980.05,5503.48,4793.17,7403.19,6824,7060.46,6831.17,6549.14,6908.25,"FN1"
"24","ENST00000421182","5_266_6986",6764,7106.25,6889.4,6348.87,5971.65,5493.68,4785.77,7393.39,6812.4,7050.86,6821.77,6536.94,6895.45,"FN1"
"25","ENST00000432072","6_266_7067",6845,6967.64,6764.65,6227.55,5854.9,5393.44,4702.68,7246.73,6664.6,6908.05,6672.3,6404.61,6759.46,"FN1"
"26","ENST00000575842","5_428_1553",1129,16688,19676,18906,18211,18416,16644,13141,12962,12309,6589,7018,9180,"ACTG1"
"27","ENST00000309311","6_90_2664",2588,7805,9435,8931,8528,8322,8107,9637,10080,9420,6577,6109,8503,"EEF2"
"28","ENST00000357867","8_267_6795",6571,6853.97,6650.98,6123.88,5764.23,5299.11,4627.35,7130.4,6571.27,6797.72,6563.63,6301.95,6655.46,"FN1"
"29","ENST00000331789","9_193_1318",1129,14157,17524,16122,16847,15057,15588,14740,14610,13093,6264,6641,8448,"ACTB"
"30","ENST00000310581","9_59_3455",3411,23239,26657,25382.5,21429.5,21940,19717,16168.5,16103,15602.5,6166.5,5037,6847,"TERT"
"31","ENST00000334602","10_1_3208",3221,21973,25227,23982.5,20284.5,20728,18616,15326.5,15305,14832.5,5862.5,4733,6420,"TERT"
